age,chaksunT,chaksunY,chaksun_6,debut,hrName,hrNo,meet,name,ord1CntT,ord1CntY,ord2CntT,ord2CntY,qnlRateT,qnlRateY,rcCntT,rcCntY,recentBudam,recentOrd,recentRank,recentRating,recentRcDate,recentRcDist,recentRcName,recentRcNo,recentRcTime,recentWgBudam,recentWgHr,sex,winRateT,winRateY
2,-,-,-,-,우리의기쁨,0055203,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,경성파워,3107348,제주,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,거,-,-
2,-,-,-,-,고운하늘,3109352,제주,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,히어로라이언,0057337,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,환상의미르,0055635,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,환상의루나,0055287,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
5,-,-,-,-,불범,3103948,제주,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,0,0,0,-,우와,0057308,서울,캐나다,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,거,0,0
3,0,0,0,-,불꽃천하,3107416,제주,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,거,0,0
3,-,-,-,-,광명용사,3107477,제주,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,거,-,-
3,0,0,0,-,화이트잭팟,0053194,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,수,0,0
2,-,-,-,-,화이트스톰,0053703,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,헬로힐다,0056117,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,피엔에스브란,0053104,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,포에버선샤인,0053683,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,프라임스타,0054260,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,푸른참,0061442,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,포인트아이,0053084,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,도르멍오라,3108062,제주,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,위너남촌,0053949,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,파워풀돈,0052795,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,월드아너,0052887,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,0,0,0,-,월드오브드림,0053908,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,수,0,0
2,0,0,0,-,페다이킨,0057303,서울,미국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,수,0,0
2,-,-,-,-,퍼플에테르노,0054190,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,파인윈드,0053435,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,거,-,-
3,-,-,-,-,퍼플리버,0054195,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,월드테이오,0054328,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,거,-,-
2,0,0,0,-,대박명장,3107829,제주,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,암,0,0
