jkName,jkNo,meet,ord1CntT,ord1CntY,ord2CntT,ord2CntY,qnlRateT,qnlRateY,rcCntT,rcCntY,winRateT,winRateY
"린다","080462","부산경남",0,0,0,0,0,0,2,0,0,0
"마데이","080543","부산경남",0,0,0,0,0,0,4,0,0,0
"마리오스","080574","부산경남",22,0,25,0,27.2,0,173,0,12.7,0
"마이","080467","부산경남",0,0,0,0,0,0,2,0,0,0
"마틴","080453","부산경남",49,0,57,0,21.9,0,483,0,10.1,0
"먼로","080593","부산경남",213,28,224,21,24.4,22,1788,223,11.9,12.6
"모준호","080600","부산경남",103,13,124,26,12.8,12.1,1780,321,5.8,4
"문제복","080107","부산경남",75,0,100,0,10.7,0,1635,0,4.6,0
"문중원","080397","부산경남",156,0,221,0,11.1,0,3404,0,4.6,0
"미르코","080570","부산경남",3,0,4,0,8,0,87,0,3.4,0
"박금만","080408","부산경남",270,0,259,0,17.7,0,2984,0,9,0
"박명진","080338","부산경남",1,0,5,0,1.7,0,352,0,0.3,0
"박성광","080396","부산경남",77,0,88,0,9.6,0,1727,0,4.5,0
"박재이","080546","부산경남",296,40,360,49,19.1,23.1,3429,385,8.6,10.4
"박재호","080382","부산경남",45,0,51,0,9.8,0,984,0,4.6,0
"박종호","080601","부산경남",8,0,8,0,5.3,0,302,0,2.6,0
"박진희","080380","부산경남",38,0,47,0,13.1,0,651,0,5.8,0
"베이커","080415","부산경남",77,0,63,0,27,0,519,0,14.8,0
"보렐리","080554","부산경남",38,0,42,0,25.1,0,319,0,11.9,0
"빈센트","080460","부산경남",0,0,1,0,12.5,0,8,0,0,0
"사토시","080560","부산경남",90,0,95,0,20.9,0,886,0,10.2,0
"서강주","080605","부산경남",48,13,82,26,14.6,10.6,891,367,5.4,3.5
"서승운","080484","부산경남",928,115,746,88,32.1,46.9,5208,433,17.8,26.6
"서인섭","080407","부산경남",58,0,54,0,10.4,0,1072,0,5.4,0
"설동복","080420","부산경남",71,0,105,0,10.7,0,1649,0,4.3,0
"손경민","080620","부산경남",10,10,13,13,14.3,14.3,161,161,6.2,6.2
"송경윤","080421","부산경남",470,36,571,35,17.3,20.2,6011,351,7.8,10.3
"수쿤뱅","080429","부산경남",5,0,2,0,20.6,0,34,0,14.7,0
"쉴렉터","080495","부산경남",38,0,30,0,27.3,0,249,0,15.3,0
"스위니","080585","부산경남",11,0,6,0,26.6,0,64,0,17.2,0
"스탠리","080489","부산경남",17,0,14,0,39.7,0,78,0,21.8,0
"스티븐","080454","부산경남",8,0,8,0,11.9,0,134,0,6,0
"신윤섭","080606","부산경남",63,10,72,12,11.5,9.9,1176,223,5.4,4.5
"심태섭","080425","부산경남",5,0,4,0,4.8,0,188,0,2.7,0
"아오키","080471","부산경남",23,0,23,0,20.1,0,229,0,10,0
"아카네","080488","부산경남",41,0,35,0,29.7,0,256,0,16,0
"안드레아","080575","부산경남",4,0,10,0,8.9,0,158,0,2.5,0
"안선호","080409","부산경남",94,0,95,0,22.1,0,854,0,11,0
"양영남","080384","부산경남",140,0,149,0,13.5,0,2135,0,6.6,0
"에이키","080443","부산경남",60,0,42,0,20.5,0,497,0,12.1,0
"오경환","080352","부산경남",429,0,432,0,19.2,0,4480,0,9.6,0
"오야마","080540","부산경남",9,0,26,0,12.3,0,284,0,3.2,0
"오영일","080390","부산경남",106,0,113,0,12.3,0,1782,0,5.9,0
"오카베","080556","부산경남",19,0,28,0,13.1,0,360,0,5.3,0
"와타세","080441","부산경남",10,0,8,0,23.4,0,77,0,13,0
"요아니스","080591","부산경남",46,0,70,0,12.9,0,902,0,5.1,0
"우레시","080510","부산경남",13,0,11,0,17.5,0,137,0,9.5,0
"우에다","080596","부산경남",42,0,56,4,12.1,9.8,811,41,5.2,0
"우찌다","080430","부산경남",138,0,90,0,32.8,0,695,0,19.9,0
"유광희","080483","부산경남",66,7,120,3,9.3,6.3,2010,160,3.3,4.4
"유현명","080376","부산경남",1253,5,990,7,29.7,27.9,7559,43,16.6,11.6
"윤형석","080607","부산경남",53,0,76,0,13.3,0,973,0,5.4,0
"이대연","080422","부산경남",32,0,66,0,11.2,0,876,0,3.7,0
"이든","080470","부산경남",1,0,0,0,7.1,0,14,0,7.1,0
"이명화","080377","부산경남",1,0,2,0,4.8,0,62,0,1.6,0
"이성재","080431","부산경남",440,36,434,41,15.9,15.4,5493,500,8,7.2
"이아나","080485","부산경남",53,0,53,0,8.7,0,1213,0,4.4,0
"이영우","080320","부산경남",64,0,69,0,8.6,0,1549,0,4.1,0
"이쿠야스","080426","부산경남",347,0,309,0,23.3,0,2820,0,12.3,0
"이현종","080548","부산경남",227,10,209,18,18.2,11.4,2392,246,9.5,4.1
"이홍락","080610","부산경남",27,2,42,4,10.2,4.1,675,148,4,1.4
"이효식","080564","부산경남",344,30,289,29,22.1,18.6,2859,317,12,9.5
"이희천","080395","부산경남",174,0,157,0,15,0,2212,0,7.9,0
"임성실","080379","부산경남",358,0,300,0,24.2,0,2714,0,13.2,0
"전진구","080580","부산경남",88,12,113,17,11.2,9,1801,321,4.9,3.7
"정도윤","080565","부산경남",293,35,285,24,19.1,22.8,3030,259,9.7,13.5
"정동철","080482","부산경남",179,0,209,3,11.9,2.9,3257,103,5.5,0
"정시원","080412","부산경남",64,0,62,0,15.6,0,809,0,7.9,0
"제니퍼","080463","부산경남",0,0,0,0,0,0,2,0,0,0
"제롬","080527","부산경남",3,0,1,0,15.4,0,26,0,11.5,0
"조성곤","080410","부산경남",874,0,726,0,28.6,0,5588,0,15.6,0
"조인권","080438","부산경남",730,24,619,24,24,14.8,5630,324,13,7.4
"조찬훈","080386","부산경남",279,0,280,0,21.4,0,2610,0,10.7,0
"조창욱","080411","부산경남",373,0,364,4,17.1,4.4,4321,91,8.6,0
"조희원","080531","부산경남",15,0,31,0,10.7,0,428,0,3.5,0
"진겸","080551","부산경남",308,68,318,54,21.9,31.4,2860,389,10.8,17.5
"채규준","080398","부산경남",402,0,322,0,23.5,0,3080,0,13.1,0
"채상현","080532","부산경남",185,10,236,19,15.2,8.5,2772,340,6.7,2.9
"최시대","080423","부산경남",904,35,810,41,24.6,18.4,6967,414,13,8.5
"최은경","080566","부산경남",159,9,206,18,14.4,17.4,2532,155,6.3,5.8
"최인덕","080385","부산경남",33,0,35,0,14.8,0,460,0,7.2,0
"치아키","080468","부산경남",0,0,0,0,0,0,2,0,0,0
"캐서린","080465","부산경남",0,0,0,0,0,0,2,0,0,0
"코스케","080493","부산경남",68,0,59,0,25,0,508,0,13.4,0
"파올로","080561","부산경남",17,0,14,0,24.4,0,127,0,13.4,0
"페로비치","080542","부산경남",371,0,272,0,33.1,0,1945,0,19.1,0
"프랑소와","080590","부산경남",39,0,27,0,14.2,0,466,0,8.4,0
"하무선","080300","부산경남",60,0,66,0,13,0,969,0,6.2,0
"하태국","080372","부산경남",26,0,20,0,14.2,0,324,0,8,0
"한상규","080373","부산경남",129,0,122,0,16.6,0,1515,0,8.5,0
"홀랜드","080571","부산경남",17,0,16,0,25,0,132,0,12.9,0
"홀랜드","080508","부산경남",66,0,47,0,32.3,0,350,0,18.9,0
"후지이","080498","부산경남",149,0,151,0,27.3,0,1099,0,13.6,0
"히토미","080466","부산경남",1,0,0,0,50,0,2,0,50,0
"히토미","080469","부산경남",55,0,66,0,18.3,0,660,0,8.3,0
