jkName,jkNo,meet,ord1CntT,ord1CntY,ord2CntT,ord2CntY,qnlRateT,qnlRateY,rcCntT,rcCntY,winRateT,winRateY
"정금진","080120","서울",89,0,97,0,14.8,0,1254,0,7.1,0
"정기용","080367","서울",231,0,179,0,24.4,0,1678,0,13.8,0
"정봉호","080079","서울",78,0,98,0,22.5,0,782,0,10,0
"정승수","080325","서울",77,0,71,0,9.5,0,1550,0,5,0
"정영조","080299","서울",0,0,1,0,5.6,0,18,0,0,0
"정우석","080085","서울",45,0,47,0,22.3,0,412,0,10.9,0
"정우주","080588","서울",113,28,123,34,11.2,16.7,2103,372,5.4,7.5
"정정희","080530","서울",212,43,223,43,14.9,22.1,2920,390,7.3,11
"정주상","080121","서울",100,0,96,0,18.8,0,1042,0,9.6,0
"정태문","080023","서울",377,0,356,0,26.5,0,2766,0,13.6,0
"정평수","080106","서울",285,0,376,0,13.5,0,4886,0,5.8,0
"정현","080549","서울",4,0,4,0,17,0,47,0,8.5,0
"정호익","080112","서울",301,0,330,0,18.5,0,3417,0,8.8,0
"제라드","08A114","서울",0,0,0,0,0,0,1,0,0,0
"제라드","08A121","서울",0,0,0,0,0,0,2,0,0,0
"제임스","08A057","서울",0,0,1,0,20,0,5,0,0,0
"조경호","080355","서울",827,0,667,0,30.1,0,4964,0,16.7,0
"조규억","080045","서울",104,0,103,0,16,0,1290,0,8.1,0
"조도길","080013","서울",97,0,94,0,27.5,0,695,0,14,0
"조상범","080533","서울",110,12,241,32,11.8,10.8,2980,408,3.7,2.9
"조성환","080622","서울",2,2,6,6,4.8,4.8,166,166,1.2,1.2
"조슈아","08A088","서울",0,0,0,0,0,0,4,0,0,0
"조용배","080095","서울",246,0,261,0,17.4,0,2910,0,8.5,0
"조재로","080550","서울",270,66,269,58,19.2,29.4,2805,422,9.6,15.6
"조한별","080515","서울",126,22,187,30,11.1,13,2815,401,4.5,5.5
"조한우","080018","서울",12,0,10,0,26.2,0,84,0,14.3,0
"존맥키","08A123","서울",0,0,0,0,0,0,1,0,0,0
"주맛","08A038","서울",1,0,0,0,25,0,4,0,25,0
"지용철","080006","서울",75,0,67,0,31,0,458,0,16.4,0
"지하주","080301","서울",264,0,278,0,15.5,0,3490,0,7.6,0
"쯔바사","08A085","서울",0,0,1,0,25,0,4,0,0,0
"차베스","08A079","서울",0,0,1,0,100,0,1,0,0,0
"차우","08A138","서울",1,1,1,1,100,100,2,2,50,50
"채드윅","08A129","서울",0,0,0,0,0,0,2,0,0,0
"천창기","080092","서울",628,0,566,0,24,0,4981,0,12.6,0
"최기홍","080104","서울",286,0,378,0,20.7,0,3209,0,8.9,0
"최동승","080031","서울",37,0,29,0,27.2,0,243,0,15.2,0
"최범현","080361","서울",949,36,900,34,24.9,33.2,7432,211,12.8,17.1
"최봉주","080080","서울",685,0,665,0,23.4,0,5759,0,11.9,0
"최상식","080040","서울",118,0,155,0,18.1,0,1509,0,7.8,0
"최영주","080037","서울",206,0,192,0,23,0,1730,0,11.9,0
"최원준","080419","서울",88,0,121,0,10,0,2089,0,4.2,0
"최이모","08A086","서울",1,0,0,0,100,0,1,0,100,0
"최인형","080323","서울",5,0,5,0,3.7,0,268,0,1.9,0
"최재구","080034","서울",224,0,239,0,25.4,0,1826,0,12.3,0
"최정섭","080393","서울",49,0,49,0,14.9,0,656,0,7.5,0
"최종수","080126","서울",60,0,67,0,23.7,0,535,0,11.2,0
"최태환","080057","서울",4,0,10,0,22.2,0,63,0,6.3,0
