model,winner_hit_rate,top3_hit_rate,ndcg_3,ndcg_5,spearman,rank_mae
NoOdds_Ranker,0.018,0.1355,0.4388,0.5161,-0.3207,4.1709
WithOdds_Ranker,0.012,0.0918,0.3917,0.4677,-0.481,4.4721
